critic,date,fresh,imdb,original_score,publication,quote,review_date,rt_id,title
Liam Lacey,2002-04-12,rotten,114885,,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,http://www.globeandmail.com/servlet/ArticleNews/movie/TVCONNECT/00010101/101804,16697,Waiting to Exhale
Kenneth Turan,2001-02-13,fresh,114885,3.5/5,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,"http://www.calendarlive.com/movies/reviews/cl-movie960406-14,0,831090.story",16697,Waiting to Exhale
Edward Guthmann,2000-01-01,rotten,114885,2/4,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/04/26/DD13066.DTL,16697,Waiting to Exhale
Desson Thomson,2000-01-01,fresh,114885,,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/waitingtoexhalerhowe_b003ad.htm,16697,Waiting to Exhale
Joan Walsh,2000-01-01,rotten,114885,,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",http://www.salon.com/05/departments/hotb.html#waiting,16697,Waiting to Exhale
Susan Wloszczyna,2000-01-01,fresh,114885,2.5/4,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",,16697,Waiting to Exhale
Joe Baltake,2000-01-01,rotten,114885,2/4,Sacramento Bee,"With one possible exception, none of its women is at all likable.",http://www.movieclub.com/reviews/archives/95waiting/waiting.html,16697,Waiting to Exhale
Susan Stark,2000-01-01,rotten,114885,2/4,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",http://data.detnews.com/movies/details.hbs?myrec=276,16697,Waiting to Exhale
James Berardinelli,2000-01-01,rotten,114885,2/4,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",http://www.reelviews.net/movies/w/waiting.html,16697,Waiting to Exhale
Roger Ebert,2000-01-01,fresh,114885,3/4,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",http://www.rogerebert.com/reviews/waiting-to-exhale-1995,16697,Waiting to Exhale
Mike Clark,2000-01-01,rotten,113041,2/4,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",,10379,Father of the Bride Part II
Todd McCarthy,2008-10-16,fresh,113277,,Variety,Heat occupies an exalted position among the countless contemporary crime films.,http://www.variety.com/review/VE1117904741.html?categoryid=31&cs=1,13098,Heat
Peter Travers,2007-08-14,fresh,113277,3/4,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,,13098,Heat
Geoff Andrew,2006-02-09,fresh,113277,,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",http://www.timeout.com/film/reviews/71852/heat.html,13098,Heat
Janet Maslin,2003-05-20,rotten,113277,,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",http://movies.nytimes.com/movie/review?res=9C05E0DD1739F936A25751C1A963958260&partner=Rotten Tomatoes,13098,Heat
Kenneth Turan,2001-02-13,fresh,113277,5/5,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.","http://www.calendarlive.com/movies/reviews/cl-movie960406-19,0,1158775.story",13098,Heat
Mike Clark,2000-01-01,fresh,113277,4/4,USA Today,"For a film that deserves Oscars for photography, editing, sound and arguably scoring, Heat is packed with unforgettable subcharacters.",,13098,Heat
Richard Schickel,2000-01-01,fresh,113277,4/5,TIME Magazine,"All this adds good weight and tension to the movie and provides a lot of very good actors with the opportunity to do honest, probing work in a context where, typically, less will do.",,13098,Heat
Andrew Ross,2000-01-01,rotten,113277,,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities ...",http://www.salon.com/16dec1995/reviews/dog.html,13098,Heat
Roger Ebert,2000-01-01,fresh,113277,3.5/4,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,http://www.rogerebert.com/reviews/heat-1995,13098,Heat
James Berardinelli,2000-01-01,rotten,113277,2/4,ReelViews,... a colossal disappointment.,http://www.reelviews.net/php_review_template.php?identifier=1332,13098,Heat
Hal Hinson,2000-01-01,fresh,113277,3/5,Washington Post,"If there's one thing Michael Mann knows how to do, it's create tension.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/heatrhinson_c03d9c.htm,13098,Heat
Sean Means,2000-01-01,fresh,113277,,Film.com,Heat generates lots of energy but gives off little light.,,13098,Heat
Desson Thomson,2000-01-01,fresh,113277,4.5/5,Washington Post,"As with his other works, [Mann] binds sound, music and pictures into one hypnotic triaxial cable and plugs it right into your brain. He makes this almost-three-hour experience practically glide by.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/heatrhowe_c03d97.htm,13098,Heat
Susan Stark,2000-01-01,fresh,113277,3/4,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,http://data.detnews.com/movies/details.hbs?myrec=121,13098,Heat
Edward Guthmann,2000-01-01,fresh,113277,3/4,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/06/21/DD57272.DTL,13098,Heat
Andy Spletzer,2000-01-01,fresh,113277,,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,,13098,Heat
Joe Baltake,2000-01-01,fresh,113277,4/4,Sacramento Bee,"Heat has an impressively strong script by Mann, and he backs it up with gorgeous filmmaking.",http://www.movieclub.com/reviews/archives/95heat/heat.html,13098,Heat
Owen Gleiberman,1995-12-15,fresh,113277,B-,Entertainment Weekly,Heat is an ''epic'' that feels like a stunt.,"http://www.ew.com/ew/article/0,,300104,00.html",13098,Heat
,2009-02-03,fresh,47437,,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.","http://www.time.com/time/magazine/article/0,9171,820214-2,00.html",18228,Sabrina
Variety Staff,2008-10-18,fresh,47437,,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",http://www.variety.com/review/VE1117794622.html?categoryid=31&cs=1,18228,Sabrina
Dave Kehr,2007-08-15,fresh,47437,,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,http://onfilm.chicagoreader.com/movies/capsules/10588_SABRINA,18228,Sabrina
Derek Adams,2006-06-24,fresh,47437,,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",http://www.timeout.com/film/reviews/73887/sabrina.html,18228,Sabrina
James Berardinelli,2000-01-01,fresh,47437,3/4,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",http://www.reelviews.net/php_review_template.php?identifier=666,18228,Sabrina
Bosley Crowther,2000-01-01,fresh,47437,3/5,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",http://www.nytimes.com/books/98/12/27/specials/wilder-sabrina.html,18228,Sabrina
Susan Wloszczyna,2000-01-01,rotten,112302,1.5/4,USA Today,A joyless lump.,,11639,Tom and Huck
Geoff Andrew,2006-02-09,fresh,114576,,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",http://www.timeout.com/film/reviews/75559/sudden_death.html,15378,Sudden Death
Stephen Holden,2003-05-20,fresh,114576,,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",http://movies.nytimes.com/movie/review?res=9F06E4DF1539F931A15751C1A963958260&partner=Rotten Tomatoes,15378,Sudden Death
Mick LaSalle,2002-06-18,fresh,114576,3/4,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/06/14/DD31502.DTL,15378,Sudden Death
Peter Travers,2001-05-12,rotten,114576,,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",,15378,Sudden Death
Kevin Thomas,2001-02-13,fresh,114576,,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.","http://www.calendarlive.com/movies/reviews/cl-movie960406-8,0,4957569.story",15378,Sudden Death
Roger Ebert,2000-01-01,fresh,114576,2.5/4,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",http://www.rogerebert.com/reviews/sudden-death-1995,15378,Sudden Death
Richard Harrington,2000-01-01,fresh,114576,,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/suddendeathrharrington_c03f07.htm,15378,Sudden Death
Desson Thomson,2000-01-01,rotten,114576,,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/suddendeathrhowe_b003a4.htm,15378,Sudden Death
James Berardinelli,2000-01-01,rotten,114576,1.5/4,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",http://www.reelviews.net/movies/s/sudden_death.html,15378,Sudden Death
Anthony Lane,2012-10-23,fresh,113189,,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",http://www.newyorker.com/arts/reviews/film/goldeneye_campbell,12812,GoldenEye
Owen Gleiberman,2008-10-13,rotten,113189,C+,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.","http://www.ew.com/ew/article/0,,299672,00.html",12812,GoldenEye
Jonathan Rosenbaum,2008-10-13,fresh,113189,,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",http://onfilm.chicagoreader.com/movies/capsules/13156_GOLDENEYE,12812,GoldenEye
Richard Schickel,2008-10-13,rotten,113189,,TIME Magazine,"Richard Kiel, you are missed.","http://www.time.com/time/magazine/article/0,9171,983763,00.html",12812,GoldenEye
Todd McCarthy,2008-10-02,fresh,113189,,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",http://www.variety.com/review/VE1117904690.html?categoryid=31&cs=1,12812,GoldenEye
,2006-02-09,fresh,113189,,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,http://www.timeout.com/film/reviews/70351/goldeneye.html,12812,GoldenEye
Janet Maslin,2003-05-20,rotten,113189,,New York Times,Suffers the blahs.,http://movies.nytimes.com/movie/review?res=9405E2DC1239F934A25752C1A963958260&partner=Rotten Tomatoes,12812,GoldenEye
Peter Stack,2002-06-18,fresh,113189,3/4,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/11/17/DD71044.DTL,12812,GoldenEye
Rick Groen,2002-04-12,rotten,113189,2/4,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",http://www.theglobeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19951117/953210146,12812,GoldenEye
Kenneth Turan,2001-02-13,rotten,113189,2.5/5,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.","http://www.calendarlive.com/movies/reviews/cl-movie960406-47,0,1420920.story",12812,GoldenEye
Susan Wloszczyna,2000-01-01,fresh,113189,3.5/4,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,,12812,GoldenEye
Hal Hinson,2000-01-01,fresh,113189,,Washington Post,Directed with top-dollar proficiency (and some real wit).,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/goldeneye.htm,12812,GoldenEye
James Berardinelli,2000-01-01,fresh,113189,3/4,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,http://www.reelviews.net/php_review_template.php?identifier=76,12812,GoldenEye
Roger Ebert,2000-01-01,fresh,113189,3/4,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",http://www.rogerebert.com/reviews/goldeneye-1995,12812,GoldenEye
Geoff Andrew,2006-06-24,fresh,112346,,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",http://www.timeout.com/film/reviews/77858/the_american_president.html,10129,The American President
Janet Maslin,2003-05-20,fresh,112346,3.5/5,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",http://movies.nytimes.com/movie/review?res=9501E5DC1239F934A25752C1A963958260&partner=Rotten Tomatoes,10129,The American President
Kenneth Turan,2001-02-13,fresh,112346,,Los Angeles Times,Genial and entertaining if not notably inspired.,"http://www.calendarlive.com/movies/reviews/cl-movie960406-46,0,1355383.story",10129,The American President
,2001-02-13,fresh,112346,,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,http://www.variety.com/review/VE1117796745.html?categoryid=31&cs=1,10129,The American President
Richard Corliss,2000-01-01,fresh,112346,,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,,10129,The American President
James Berardinelli,2000-01-01,rotten,112346,2.5/4,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",http://www.reelviews.net/php_review_template.php?identifier=1667,10129,The American President
Tom Keogh,2000-01-01,fresh,112346,,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",,10129,The American President
Sean Means,2000-01-01,fresh,112346,,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,,10129,The American President
Joe Baltake,2000-01-01,fresh,112346,,Sacramento Bee,"A shrewd new depiction of 'office sex,' as well as an utterly positive view of the idea that a president's character is important.",http://www.movieclub.com/reviews/archives/95americanprez/americanprez.html,10129,The American President
Susan Stark,2000-01-01,fresh,112346,3/4,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",http://data.detnews.com/movies/details.hbs?myrec=7,10129,The American President
Roger Ebert,2000-01-01,fresh,112346,4/4,Chicago Sun-Times,Great entertainment.,http://www.rogerebert.com/reviews/the-american-president-1995,10129,The American President
Desson Thomson,2000-01-01,fresh,112346,,Washington Post,A well-modulated charmer.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theamericanpresidentpg13howe_c03797.htm,10129,The American President
Paula Nechak,2000-01-01,fresh,112346,,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,,10129,The American President
Rita Kempley,2000-01-01,fresh,112346,,Washington Post,Frothy.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theamericanpresidentpg13kempley_c0379e.htm,10129,The American President
Edward Guthmann,2000-01-01,fresh,112346,3/4,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/11/17/DD23285.DTL,10129,The American President
John Hartl,2000-01-01,fresh,112346,,Film.com,Painless fun.,,10129,The American President
Mike Clark,2000-01-01,fresh,112346,3/4,USA Today,A super cast injects it with Teddy Roosevelt vitality.,,10129,The American President
Susan Rathke,2000-01-01,rotten,112346,,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",,10129,The American President
Owen Gleiberman,1995-11-17,fresh,112346,B-,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...","http://www.ew.com/ew/article/0,,299567,00.html",10129,The American President
Jonathan Rosenbaum,2009-10-20,rotten,112896,,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,http://www.chicagoreader.com/chicago/dracula-dead-and-loving-it/Film?oid=1050115,10445,Dracula - Dead and Loving It
Joe Leydon,2009-03-26,rotten,112896,,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",http://www.variety.com/review/VE1117910573.html?categoryid=31&cs=1,10445,Dracula - Dead and Loving It
,2006-01-26,rotten,112896,,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",http://www.timeout.com/film/reviews/65742/dracula-dead_and_loving_it.html,10445,Dracula - Dead and Loving It
Janet Maslin,2003-05-20,fresh,112896,3/5,New York Times,Slight but amusing.,http://movies.nytimes.com/movie/review?res=9804E3DF1539F931A15751C1A963958260&partner=Rotten Tomatoes,10445,Dracula - Dead and Loving It
David Kronke,2002-08-15,rotten,112896,1/5,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?","http://www.calendarlive.com/movies/reviews/cl-movie960406-12,0,700016.story",10445,Dracula - Dead and Loving It
James Berardinelli,2000-01-01,rotten,112896,2/4,ReelViews,It's a toothless parody that misses more often than it hits.,http://www.reelviews.net/php_review_template.php?identifier=1782,10445,Dracula - Dead and Loving It
Hal Hinson,2000-01-01,rotten,112896,,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/draculadeadandlovingitpg13hinson_c03f0a.htm,10445,Dracula - Dead and Loving It
Susan Wloszczyna,2000-01-01,rotten,112896,1.5/4,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",,10445,Dracula - Dead and Loving It
Desson Thomson,2000-01-01,rotten,112896,,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/draculadeadandlovingitpg13howe_b003a5.htm,10445,Dracula - Dead and Loving It
Mick LaSalle,2000-01-01,fresh,112896,3/4,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/12/22/DD57440.DTL,10445,Dracula - Dead and Loving It
Susan Wloszczyna,2000-01-01,rotten,112453,2.5/4,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",,9562,Balto
Geoff Andrew,2006-01-26,rotten,113987,,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",http://www.timeout.com/film/reviews/63447/nixon.html,16248,Nixon
Janet Maslin,2003-05-20,fresh,113987,3.5/5,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",http://movies2.nytimes.com/mem/movies/review.html?title1=&title2=FOR%20GOD%20AND%20COUNTRY%20%28MOVIE%29&reviewer=Janet%20Maslin&v_id=135504&pdate=19951220&partner=Rotten Tomatoes,16248,Nixon
Hal Hinson,2001-02-16,fresh,113987,,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",,16248,Nixon
Kenneth Turan,2001-02-13,fresh,113987,,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.","http://www.calendarlive.com/movies/reviews/cl-movie960406-15,0,896627.story",16248,Nixon
Todd McCarthy,2001-02-13,rotten,113987,,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,http://www.variety.com/review/VE1117910569.html?categoryid=31&cs=1,16248,Nixon
James Berardinelli,2000-01-01,fresh,113987,3/4,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",http://www.reelviews.net/php_review_template.php?identifier=1371,16248,Nixon
John Hartl,2000-01-01,rotten,113987,,Film.com,There's no compelling structure or viewpoint to hold the picture together.,,16248,Nixon
Mick LaSalle,2000-01-01,rotten,113987,1/4,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/12/20/DD21970.DTL,16248,Nixon
Roger Ebert,2000-01-01,fresh,113987,4/4,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",http://www.rogerebert.com/reviews/nixon-1995,16248,Nixon
Susan Stark,2000-01-01,fresh,113987,3/4,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",http://data.detnews.com/movies/details.hbs?myrec=198,16248,Nixon
